target_id,pdb_id,chain_id,model,rank,output_pdb,success,return_code,inference_time_sec,inference_time_sec_per_prediction,prediction_count,trials_run,max_trials,successful_trial,command,error_message,carbon_tracking_enabled,carbon_method,carbon_country_iso_code,carbon_emissions_kg,carbon_emissions_g,carbon_energy_consumed_kwh,carbon_cpu_power_w,carbon_gpu_power_w,carbon_ram_power_w,carbon_cpu_energy_kwh,carbon_gpu_energy_kwh,carbon_ram_energy_kwh,carbon_duration_sec,carbon_output_file,carbon_error
7QIH_chainA,7QIH,A,boltz2,1,results/six_backend_first5_carbon_smoke/predictions/7QIH_chainA/boltz2/rank_001.pdb,true,0,39.238736,39.238736,1,1,1,1,bash runners/run_boltz2.sh results/six_backend_first5_carbon_smoke/sequences/7QIH_chainA.fasta results/six_backend_first5_carbon_smoke/predictions/7QIH_chainA/boltz2 1,,true,codecarbon_offline,CHE,0.00012550943436130763,0.12550943436130763,0.002664687254226187,42.5,125.612,94.18931865692139,0.0004632413084308306,0.0011800552044193614,0.001021390741375996,39.24058127403259,results/six_backend_first5_carbon_smoke/carbon/7QIH_chainA_boltz2_emissions.csv,
7QIH_chainA,7QIH,A,chai1,1,results/six_backend_first5_carbon_smoke/predictions/7QIH_chainA/chai1/rank_001.pdb,true,0,74.536622,74.536622,1,1,1,1,bash runners/run_chai1.sh results/six_backend_first5_carbon_smoke/sequences/7QIH_chainA.fasta results/six_backend_first5_carbon_smoke/predictions/7QIH_chainA/chai1 1,,true,codecarbon_offline,CHE,0.0002846033463548563,0.2846033463548563,0.006042405604018095,42.5,151.112,94.18931865692139,0.0008799403611156677,0.0032190629942186674,0.00194340224868376,74.53856182098389,results/six_backend_first5_carbon_smoke/carbon/7QIH_chainA_chai1_emissions.csv,
8ORK_chainA,8ORK,A,colabfold,1,results/six_backend_first5_carbon_smoke/predictions/8ORK_chainA/colabfold/rank_001.pdb,true,0,100.620622,100.620622,1,1,1,1,bash runners/run_colabfold.sh results/six_backend_first5_carbon_smoke/sequences/8ORK_chainA.fasta results/six_backend_first5_carbon_smoke/predictions/8ORK_chainA/colabfold 1,,true,codecarbon_offline,CHE,0.00036359440931505685,0.3635944093150569,0.007719462629563213,42.5,151.197,94.18931865692139,0.0011878721276919041,0.003908687973074516,0.002622902528796792,100.6235203742981,results/six_backend_first5_carbon_smoke/carbon/8ORK_chainA_colabfold_emissions.csv,
8ORK_chainA,8ORK,A,openfold,1,results/six_backend_first5_carbon_smoke/predictions/8ORK_chainA/openfold/rank_001.pdb,true,0,92.776329,92.776329,1,1,1,1,bash runners/run_openfold.sh results/six_backend_first5_carbon_smoke/sequences/8ORK_chainA.fasta results/six_backend_first5_carbon_smoke/predictions/8ORK_chainA/openfold 1,,true,codecarbon_offline,CHE,0.0004284075778789012,0.4284075778789012,0.009095509179824234,42.5,183.46200000000002,94.18931865692139,0.001095275231368012,0.005580680654246211,0.0024195532942100097,92.77918791770935,results/six_backend_first5_carbon_smoke/carbon/8ORK_chainA_openfold_emissions.csv,
8ORK_chainA,8ORK,A,esmfold,1,results/six_backend_first5_carbon_smoke/predictions/8ORK_chainA/esmfold/rank_001.pdb,true,0,64.938539,64.938539,1,1,1,1,bash runners/run_esmfold.sh results/six_backend_first5_carbon_smoke/sequences/8ORK_chainA.fasta results/six_backend_first5_carbon_smoke/predictions/8ORK_chainA/esmfold 1,,true,codecarbon_offline,CHE,0.00023427094801469134,0.23427094801469134,0.004973799877172276,42.5,179.542,94.18931865692139,0.0007666439741849901,0.002512388246807655,0.0016947676561796293,64.94136905670166,results/six_backend_first5_carbon_smoke/carbon/8ORK_chainA_esmfold_emissions.csv,
8ORK_chainA,8ORK,A,omegafold,1,results/six_backend_first5_carbon_smoke/predictions/8ORK_chainA/omegafold/rank_001.pdb,true,0,157.473925,157.473925,1,1,1,1,bash runners/run_omegafold.sh results/six_backend_first5_carbon_smoke/sequences/8ORK_chainA.fasta results/six_backend_first5_carbon_smoke/predictions/8ORK_chainA/omegafold 1,,true,codecarbon_offline,CHE,0.000723131700207655,0.723131700207655,0.015352788692546976,42.5,200.622,94.18931865692139,0.001859039646883805,0.009386771352909006,0.004106977692754185,157.47644329071045,results/six_backend_first5_carbon_smoke/carbon/8ORK_chainA_omegafold_emissions.csv,
8ORK_chainA,8ORK,A,boltz2,1,results/six_backend_first5_carbon_smoke/predictions/8ORK_chainA/boltz2/rank_001.pdb,true,0,68.573387,68.573387,1,1,1,1,bash runners/run_boltz2.sh results/six_backend_first5_carbon_smoke/sequences/8ORK_chainA.fasta results/six_backend_first5_carbon_smoke/predictions/8ORK_chainA/boltz2 1,,true,codecarbon_offline,CHE,0.000266433556564481,0.266433556564481,0.005656643310428249,42.5,167.102,94.18931865692139,0.0008095466473036344,0.0030586922699877292,0.0017884043931368854,68.57559895515442,results/six_backend_first5_carbon_smoke/carbon/8ORK_chainA_boltz2_emissions.csv,
8ORK_chainA,8ORK,A,chai1,1,results/six_backend_first5_carbon_smoke/predictions/8ORK_chainA/chai1/rank_001.pdb,true,0,145.846534,145.846534,1,1,1,1,bash runners/run_chai1.sh results/six_backend_first5_carbon_smoke/sequences/8ORK_chainA.fasta results/six_backend_first5_carbon_smoke/predictions/8ORK_chainA/chai1 1,,true,codecarbon_offline,CHE,0.0006178421703656096,0.6178421703656096,0.013117389659786621,42.5,164.201,94.18931865692139,0.0017217706615726158,0.007588529970874188,0.0038070890273398162,145.8484399318695,results/six_backend_first5_carbon_smoke/carbon/8ORK_chainA_chai1_emissions.csv,
7UYX_chainA,7UYX,A,colabfold,1,results/six_backend_first5_carbon_smoke/predictions/7UYX_chainA/colabfold/rank_001.pdb,true,0,97.881485,97.881485,1,1,1,1,bash runners/run_colabfold.sh results/six_backend_first5_carbon_smoke/sequences/7UYX_chainA.fasta results/six_backend_first5_carbon_smoke/predictions/7UYX_chainA/colabfold 1,,true,codecarbon_offline,CHE,0.00033729620309341096,0.33729620309341096,0.007161126156417294,42.5,148.849,94.18931865692139,0.0011555341008636685,0.003454223806656069,0.0025513682488975597,97.88410711288452,results/six_backend_first5_carbon_smoke/carbon/7UYX_chainA_colabfold_emissions.csv,
7UYX_chainA,7UYX,A,openfold,1,results/six_backend_first5_carbon_smoke/predictions/7UYX_chainA/openfold/rank_001.pdb,true,0,23.001193,23.001193,1,1,1,1,bash runners/run_openfold.sh results/six_backend_first5_carbon_smoke/sequences/7UYX_chainA.fasta results/six_backend_first5_carbon_smoke/predictions/7UYX_chainA/openfold 1,,true,codecarbon_offline,CHE,9.658257038383533e-05,0.09658257038383533,0.002050541822548042,42.5,220.98000000000002,94.18931865692139,0.0002715612722767724,0.0011790988903628455,0.0005998816599084246,23.00352144241333,results/six_backend_first5_carbon_smoke/carbon/7UYX_chainA_openfold_emissions.csv,
7UYX_chainA,7UYX,A,esmfold,1,results/six_backend_first5_carbon_smoke/predictions/7UYX_chainA/esmfold/rank_001.pdb,true,0,41.767180,41.767180,1,1,1,1,bash runners/run_esmfold.sh results/six_backend_first5_carbon_smoke/sequences/7UYX_chainA.fasta results/six_backend_first5_carbon_smoke/predictions/7UYX_chainA/esmfold 1,,true,codecarbon_offline,CHE,0.00011943317341615254,0.11943317341615253,0.0025356823298051537,42.5,213.848,94.18931865692139,0.0004930968918734126,0.00095226854384217,0.001090316894089572,41.769821643829346,results/six_backend_first5_carbon_smoke/carbon/7UYX_chainA_esmfold_emissions.csv,
7UYX_chainA,7UYX,A,omegafold,1,results/six_backend_first5_carbon_smoke/predictions/7UYX_chainA/omegafold/rank_001.pdb,true,0,26.036593,26.036593,1,1,1,1,bash runners/run_omegafold.sh results/six_backend_first5_carbon_smoke/sequences/7UYX_chainA.fasta results/six_backend_first5_carbon_smoke/predictions/7UYX_chainA/omegafold 1,,true,codecarbon_offline,CHE,0.00010547991742185261,0.10547991742185261,0.0022394411460871875,42.5,183.022,94.18931865692139,0.00030739350716273,0.0012530872563406494,0.0006789603825838086,26.038890838623047,results/six_backend_first5_carbon_smoke/carbon/7UYX_chainA_omegafold_emissions.csv,
7UYX_chainA,7UYX,A,boltz2,1,results/six_backend_first5_carbon_smoke/predictions/7UYX_chainA/boltz2/rank_001.pdb,true,0,39.622528,39.622528,1,1,1,1,bash runners/run_boltz2.sh results/six_backend_first5_carbon_smoke/sequences/7UYX_chainA.fasta results/six_backend_first5_carbon_smoke/predictions/7UYX_chainA/boltz2 1,,true,codecarbon_offline,CHE,0.00012884080547824388,0.1288408054782439,0.002735415500270565,42.5,133.842,94.18931865692139,0.00046777988622585933,0.00123337861133496,0.0010342570027097465,39.62505388259888,results/six_backend_first5_carbon_smoke/carbon/7UYX_chainA_boltz2_emissions.csv,
7UYX_chainA,7UYX,A,chai1,1,results/six_backend_first5_carbon_smoke/predictions/7UYX_chainA/chai1/rank_001.pdb,true,0,74.819459,74.819459,1,1,1,1,bash runners/run_chai1.sh results/six_backend_first5_carbon_smoke/sequences/7UYX_chainA.fasta results/six_backend_first5_carbon_smoke/predictions/7UYX_chainA/chai1 1,,true,codecarbon_offline,CHE,0.00028484300385025617,0.2848430038502562,0.006047493765530587,42.5,160.27100000000002,94.18931865692139,0.00088328038752079,0.0032124868414942415,0.0019517265365155533,74.82134747505188,results/six_backend_first5_carbon_smoke/carbon/7UYX_chainA_chai1_emissions.csv,
7UTD_chainA,7UTD,A,colabfold,1,results/six_backend_first5_carbon_smoke/predictions/7UTD_chainA/colabfold/rank_001.pdb,true,0,103.207748,103.207748,1,1,1,1,bash runners/run_colabfold.sh results/six_backend_first5_carbon_smoke/sequences/7UTD_chainA.fasta results/six_backend_first5_carbon_smoke/predictions/7UTD_chainA/colabfold 1,,true,codecarbon_offline,CHE,0.0003800321578839182,0.3800321578839182,0.00806845200492385,42.5,154.536,94.18931865692139,0.0012184106695983148,0.004161933175387845,0.002688108159937686,103.21068263053894,results/six_backend_first5_carbon_smoke/carbon/7UTD_chainA_colabfold_emissions.csv,
7UTD_chainA,7UTD,A,openfold,1,results/six_backend_first5_carbon_smoke/predictions/7UTD_chainA/openfold/rank_001.pdb,true,0,120.326613,120.326613,1,1,1,1,bash runners/run_openfold.sh results/six_backend_first5_carbon_smoke/sequences/7UTD_chainA.fasta results/six_backend_first5_carbon_smoke/predictions/7UTD_chainA/openfold 1,,true,codecarbon_offline,CHE,0.0005583585191693643,0.5583585191693643,0.011854493942153337,42.5,174.47700000000003,94.18931865692139,0.0014205176361733012,0.00729519931448519,0.003138776991494834,120.32978320121765,results/six_backend_first5_carbon_smoke/carbon/7UTD_chainA_openfold_emissions.csv,
7UTD_chainA,7UTD,A,esmfold,1,results/six_backend_first5_carbon_smoke/predictions/7UTD_chainA/esmfold/rank_001.pdb,true,0,75.051708,75.051708,1,1,1,1,bash runners/run_esmfold.sh results/six_backend_first5_carbon_smoke/sequences/7UTD_chainA.fasta results/six_backend_first5_carbon_smoke/predictions/7UTD_chainA/esmfold 1,,true,codecarbon_offline,CHE,0.00028369691635319645,0.28369691635319644,0.006023161214267138,42.5,191.92100000000002,94.18931865692139,0.0008860284310248166,0.0031788846655854243,0.001958248117656896,75.0541832447052,results/six_backend_first5_carbon_smoke/carbon/7UTD_chainA_esmfold_emissions.csv,
7UTD_chainA,7UTD,A,omegafold,1,results/six_backend_first5_carbon_smoke/predictions/7UTD_chainA/omegafold/rank_001.pdb,true,0,213.288339,213.288339,1,1,1,1,bash runners/run_omegafold.sh results/six_backend_first5_carbon_smoke/sequences/7UTD_chainA.fasta results/six_backend_first5_carbon_smoke/predictions/7UTD_chainA/omegafold 1,,true,codecarbon_offline,CHE,0.0009822720134450087,0.9822720134450087,0.020854589359992542,42.5,200.24100000000004,94.18931865692139,0.002517940928869778,0.012774276202949023,0.005562372228173737,213.29076623916626,results/six_backend_first5_carbon_smoke/carbon/7UTD_chainA_omegafold_emissions.csv,
7UTD_chainA,7UTD,A,boltz2,1,results/six_backend_first5_carbon_smoke/predictions/7UTD_chainA/boltz2/rank_001.pdb,true,0,78.000352,78.000352,1,1,1,1,bash runners/run_boltz2.sh results/six_backend_first5_carbon_smoke/sequences/7UTD_chainA.fasta results/six_backend_first5_carbon_smoke/predictions/7UTD_chainA/boltz2 1,,true,codecarbon_offline,CHE,0.00031321491627090786,0.31321491627090786,0.00664985703638793,42.5,164.752,94.18931865692139,0.0009208319991827013,0.0036933462844364515,0.0020356787527687817,78.00229573249817,results/six_backend_first5_carbon_smoke/carbon/7UTD_chainA_boltz2_emissions.csv,
7UTD_chainA,7UTD,A,chai1,1,results/six_backend_first5_carbon_smoke/predictions/7UTD_chainA/chai1/rank_001.pdb,true,0,146.748119,146.748119,1,1,1,1,bash runners/run_chai1.sh results/six_backend_first5_carbon_smoke/sequences/7UTD_chainA.fasta results/six_backend_first5_carbon_smoke/predictions/7UTD_chainA/chai1 1,,true,codecarbon_offline,CHE,0.0006205235377276382,0.6205235377276382,0.013174317694478637,42.5,156.626,94.18931865692139,0.0017324145800537536,0.007611195804913573,0.003830707309511313,146.75004744529724,results/six_backend_first5_carbon_smoke/carbon/7UTD_chainA_chai1_emissions.csv,
