target_id,pdb_id,chain_id,model,rank,output_pdb,success,return_code,inference_time_sec,inference_time_sec_per_prediction,prediction_count,trials_run,max_trials,successful_trial,command,error_message,msa_used,msa_source,msa_mode,msa_database,msa_database_path,msa_generation_included_in_timing,msa_generation_included_in_carbon,msa_reused,shared_msa_metadata_file,shared_msa_dir,shared_msa_a3m_file,msa_generation_time_sec,msa_notes,carbon_tracking_enabled,carbon_method,carbon_country_iso_code,carbon_region,carbon_intensity_mode,carbon_intensity_g_per_kwh,carbon_intensity_source,carbon_emissions_kg,carbon_emissions_g,carbon_energy_consumed_kwh,carbon_cpu_power_w,carbon_gpu_power_w,carbon_ram_power_w,carbon_cpu_energy_kwh,carbon_gpu_energy_kwh,carbon_ram_energy_kwh,carbon_duration_sec,carbon_output_file,carbon_error
7ROA_chainA,7ROA,A,protenix,1,results/protenix_openfold3_shared_msa_first5/predictions/7ROA_chainA/protenix/rank_001.pdb,true,0,75.261586,75.261586,1,1,1,1,env CUDA_VISIBLE_DEVICES=0 bash runners/run_protenix_shared_msa.sh results/protenix_openfold3_shared_msa_first5/sequences/7ROA_chainA.fasta results/protenix_openfold3_shared_msa_first5/predictions/7ROA_chainA/protenix 1,,true,colabfold_mmseqs2,shared_precomputed_msa,colabfold,/data/chen/protein_folding_databases/colabfold,false,false,true,results/shared_msa_colabfold_first5/msa_metadata.csv,results/shared_msa_colabfold_first5/msas/7ROA_chainA,results/shared_msa_colabfold_first5/msas/7ROA_chainA/7ROA_chainA.a3m,455.148075,Shared ColabFold/MMseqs MSA generated once per target; MSA cost tracked separately,true,codecarbon_offline_world_average,WORLD,world,world_average,475.0,configurable_default_world_average,0.002072629095606774,2.072629095606774,0.004363429674961629,42.5,114.138,94.18931579589844,0.000888495461311605,0.0015098851036032038,0.0019650491100468162,75.2635223865509,results/protenix_openfold3_shared_msa_first5/carbon/7ROA_chainA_protenix_emissions.csv,
7ROA_chainA,7ROA,A,openfold3,1,results/protenix_openfold3_shared_msa_first5/predictions/7ROA_chainA/openfold3/rank_001.pdb,true,0,84.219106,84.219106,1,1,1,1,env CUDA_VISIBLE_DEVICES=0 bash runners/run_openfold3_shared_msa.sh results/protenix_openfold3_shared_msa_first5/sequences/7ROA_chainA.fasta results/protenix_openfold3_shared_msa_first5/predictions/7ROA_chainA/openfold3 1,,true,colabfold_mmseqs2,shared_precomputed_msa,colabfold,/data/chen/protein_folding_databases/colabfold,false,false,true,results/shared_msa_colabfold_first5/msa_metadata.csv,results/shared_msa_colabfold_first5/msas/7ROA_chainA,results/shared_msa_colabfold_first5/msas/7ROA_chainA/7ROA_chainA.a3m,455.148075,Shared ColabFold/MMseqs MSA generated once per target; MSA cost tracked separately,true,codecarbon_offline_world_average,WORLD,world,world_average,475.0,configurable_default_world_average,0.002436845393239183,2.436845393239183,0.005130200827871964,42.5,115.888,94.18931579589844,0.0009942490700218416,0.001936955095422997,0.002198996662427125,84.22172284126282,results/protenix_openfold3_shared_msa_first5/carbon/7ROA_chainA_openfold3_emissions.csv,
7QIH_chainA,7QIH,A,protenix,1,results/protenix_openfold3_shared_msa_first5/predictions/7QIH_chainA/protenix/rank_001.pdb,true,0,75.415474,75.415474,1,1,1,1,env CUDA_VISIBLE_DEVICES=0 bash runners/run_protenix_shared_msa.sh results/protenix_openfold3_shared_msa_first5/sequences/7QIH_chainA.fasta results/protenix_openfold3_shared_msa_first5/predictions/7QIH_chainA/protenix 1,,true,colabfold_mmseqs2,shared_precomputed_msa,colabfold,/data/chen/protein_folding_databases/colabfold,false,false,true,results/shared_msa_colabfold_first5/msa_metadata.csv,results/shared_msa_colabfold_first5/msas/7QIH_chainA,results/shared_msa_colabfold_first5/msas/7QIH_chainA/7QIH_chainA.a3m,475.625353,Shared ColabFold/MMseqs MSA generated once per target; MSA cost tracked separately,true,codecarbon_offline_world_average,WORLD,world,world_average,475.0,configurable_default_world_average,0.002091881934510585,2.0918819345105852,0.004403961967390705,42.5,114.905,94.18931579589844,0.0008903136271569464,0.0015445217005534305,0.0019691266396803255,75.41736459732056,results/protenix_openfold3_shared_msa_first5/carbon/7QIH_chainA_protenix_emissions.csv,
7QIH_chainA,7QIH,A,openfold3,1,results/protenix_openfold3_shared_msa_first5/predictions/7QIH_chainA/openfold3/rank_001.pdb,true,0,83.977125,83.977125,1,1,1,1,env CUDA_VISIBLE_DEVICES=0 bash runners/run_openfold3_shared_msa.sh results/protenix_openfold3_shared_msa_first5/sequences/7QIH_chainA.fasta results/protenix_openfold3_shared_msa_first5/predictions/7QIH_chainA/openfold3 1,,true,colabfold_mmseqs2,shared_precomputed_msa,colabfold,/data/chen/protein_folding_databases/colabfold,false,false,true,results/shared_msa_colabfold_first5/msa_metadata.csv,results/shared_msa_colabfold_first5/msas/7QIH_chainA,results/shared_msa_colabfold_first5/msas/7QIH_chainA/7QIH_chainA.a3m,475.625353,Shared ColabFold/MMseqs MSA generated once per target; MSA cost tracked separately,true,codecarbon_offline_world_average,WORLD,world,world_average,475.0,configurable_default_world_average,0.00242983858656678,2.42983858656678,0.005115449655930064,42.5,128.854,94.18931579589844,0.000991410498486625,0.001932534944567614,0.002191504212875822,83.98123979568481,results/protenix_openfold3_shared_msa_first5/carbon/7QIH_chainA_openfold3_emissions.csv,
8ORK_chainA,8ORK,A,protenix,1,results/protenix_openfold3_shared_msa_first5/predictions/8ORK_chainA/protenix/rank_001.pdb,true,0,88.466665,88.466665,1,1,1,1,env CUDA_VISIBLE_DEVICES=0 bash runners/run_protenix_shared_msa.sh results/protenix_openfold3_shared_msa_first5/sequences/8ORK_chainA.fasta results/protenix_openfold3_shared_msa_first5/predictions/8ORK_chainA/protenix 1,,true,colabfold_mmseqs2,shared_precomputed_msa,colabfold,/data/chen/protein_folding_databases/colabfold,false,false,true,results/shared_msa_colabfold_first5/msa_metadata.csv,results/shared_msa_colabfold_first5/msas/8ORK_chainA,results/shared_msa_colabfold_first5/msas/8ORK_chainA/8ORK_chainA.a3m,465.470105,Shared ColabFold/MMseqs MSA generated once per target; MSA cost tracked separately,true,codecarbon_offline_world_average,WORLD,world,world_average,475.0,configurable_default_world_average,0.0027933110239100932,2.793311023910093,0.005880654787179144,42.5,161.145,94.18931579589844,0.0010443865577379856,0.0025265620360685717,0.0023097061933725826,88.46881103515625,results/protenix_openfold3_shared_msa_first5/carbon/8ORK_chainA_protenix_emissions.csv,
8ORK_chainA,8ORK,A,openfold3,1,results/protenix_openfold3_shared_msa_first5/predictions/8ORK_chainA/openfold3/rank_001.pdb,true,0,123.225849,123.225849,1,1,1,1,env CUDA_VISIBLE_DEVICES=0 bash runners/run_openfold3_shared_msa.sh results/protenix_openfold3_shared_msa_first5/sequences/8ORK_chainA.fasta results/protenix_openfold3_shared_msa_first5/predictions/8ORK_chainA/openfold3 1,,true,colabfold_mmseqs2,shared_precomputed_msa,colabfold,/data/chen/protein_folding_databases/colabfold,false,false,true,results/shared_msa_colabfold_first5/msa_metadata.csv,results/shared_msa_colabfold_first5/msas/8ORK_chainA,results/shared_msa_colabfold_first5/msas/8ORK_chainA/8ORK_chainA.a3m,465.470105,Shared ColabFold/MMseqs MSA generated once per target; MSA cost tracked separately,true,codecarbon_offline_world_average,WORLD,world,world_average,475.0,configurable_default_world_average,0.004398952662587649,4.398952662587649,0.009260952973868735,42.5,142.427,94.18931579589844,0.0014547300095359484,0.0045905670227788554,0.003215655941553926,123.22835397720337,results/protenix_openfold3_shared_msa_first5/carbon/8ORK_chainA_openfold3_emissions.csv,
7UYX_chainA,7UYX,A,protenix,1,results/protenix_openfold3_shared_msa_first5/predictions/7UYX_chainA/protenix/rank_001.pdb,true,0,75.482498,75.482498,1,1,1,1,env CUDA_VISIBLE_DEVICES=0 bash runners/run_protenix_shared_msa.sh results/protenix_openfold3_shared_msa_first5/sequences/7UYX_chainA.fasta results/protenix_openfold3_shared_msa_first5/predictions/7UYX_chainA/protenix 1,,true,colabfold_mmseqs2,shared_precomputed_msa,colabfold,/data/chen/protein_folding_databases/colabfold,false,false,true,results/shared_msa_colabfold_first5/msa_metadata.csv,results/shared_msa_colabfold_first5/msas/7UYX_chainA,results/shared_msa_colabfold_first5/msas/7UYX_chainA/7UYX_chainA.a3m,448.281940,Shared ColabFold/MMseqs MSA generated once per target; MSA cost tracked separately,true,codecarbon_offline_world_average,WORLD,world,world_average,475.0,configurable_default_world_average,0.0021482196628364574,2.1482196628364574,0.0045225677112346475,42.5,144.661,94.18931579589844,0.0008911145115892099,0.0016606237035852011,0.0019708294960602423,75.48525905609131,results/protenix_openfold3_shared_msa_first5/carbon/7UYX_chainA_protenix_emissions.csv,
7UYX_chainA,7UYX,A,openfold3,1,results/protenix_openfold3_shared_msa_first5/predictions/7UYX_chainA/openfold3/rank_001.pdb,true,0,84.893236,84.893236,1,1,1,1,env CUDA_VISIBLE_DEVICES=0 bash runners/run_openfold3_shared_msa.sh results/protenix_openfold3_shared_msa_first5/sequences/7UYX_chainA.fasta results/protenix_openfold3_shared_msa_first5/predictions/7UYX_chainA/openfold3 1,,true,colabfold_mmseqs2,shared_precomputed_msa,colabfold,/data/chen/protein_folding_databases/colabfold,false,false,true,results/shared_msa_colabfold_first5/msa_metadata.csv,results/shared_msa_colabfold_first5/msas/7UYX_chainA,results/shared_msa_colabfold_first5/msas/7UYX_chainA/7UYX_chainA.a3m,448.281940,Shared ColabFold/MMseqs MSA generated once per target; MSA cost tracked separately,true,codecarbon_offline_world_average,WORLD,world,world_average,475.0,configurable_default_world_average,0.0026090399274419198,2.60903992744192,0.005492715636719831,42.5,139.068,94.18931579589844,0.0010022079512476921,0.0022756387185955723,0.0022148689668765723,84.89586281776428,results/protenix_openfold3_shared_msa_first5/carbon/7UYX_chainA_openfold3_emissions.csv,
7UTD_chainA,7UTD,A,protenix,1,results/protenix_openfold3_shared_msa_first5/predictions/7UTD_chainA/protenix/rank_001.pdb,true,0,95.862228,95.862228,1,1,1,1,env CUDA_VISIBLE_DEVICES=0 bash runners/run_protenix_shared_msa.sh results/protenix_openfold3_shared_msa_first5/sequences/7UTD_chainA.fasta results/protenix_openfold3_shared_msa_first5/predictions/7UTD_chainA/protenix 1,,true,colabfold_mmseqs2,shared_precomputed_msa,colabfold,/data/chen/protein_folding_databases/colabfold,false,false,true,results/shared_msa_colabfold_first5/msa_metadata.csv,results/shared_msa_colabfold_first5/msas/7UTD_chainA,results/shared_msa_colabfold_first5/msas/7UTD_chainA/7UTD_chainA.a3m,471.528735,Shared ColabFold/MMseqs MSA generated once per target; MSA cost tracked separately,true,codecarbon_offline_world_average,WORLD,world,world_average,475.0,configurable_default_world_average,0.0031571631408883996,3.1571631408883998,0.0066466592439755785,42.5,151.88400000000001,94.18931579589844,0.0011316914358072813,0.003012039885871212,0.0025029279222970858,95.8641905784607,results/protenix_openfold3_shared_msa_first5/carbon/7UTD_chainA_protenix_emissions.csv,
7UTD_chainA,7UTD,A,openfold3,1,results/protenix_openfold3_shared_msa_first5/predictions/7UTD_chainA/openfold3/rank_001.pdb,true,0,140.803015,140.803015,1,1,1,1,env CUDA_VISIBLE_DEVICES=0 bash runners/run_openfold3_shared_msa.sh results/protenix_openfold3_shared_msa_first5/sequences/7UTD_chainA.fasta results/protenix_openfold3_shared_msa_first5/predictions/7UTD_chainA/openfold3 1,,true,colabfold_mmseqs2,shared_precomputed_msa,colabfold,/data/chen/protein_folding_databases/colabfold,false,false,true,results/shared_msa_colabfold_first5/msa_metadata.csv,results/shared_msa_colabfold_first5/msas/7UTD_chainA,results/shared_msa_colabfold_first5/msas/7UTD_chainA/7UTD_chainA.a3m,471.528735,Shared ColabFold/MMseqs MSA generated once per target; MSA cost tracked separately,true,codecarbon_offline_world_average,WORLD,world,world_average,475.0,configurable_default_world_average,0.00522894886848581,5.22894886848581,0.011008313407338549,42.5,131.36100000000002,94.18931579589844,0.0016622428052955208,0.00567148992255661,0.003674580679486424,140.80652260780334,results/protenix_openfold3_shared_msa_first5/carbon/7UTD_chainA_openfold3_emissions.csv,
