target_id,pdb_id,chain,model,status,inference_time_sec,carbon_emissions_g,carbon_energy_consumed_kwh,lddt_ca,ca_rmsd,tmalign_tm_score_ref,tmalign_rmsd,top_k,msa_mode,benchmark_notes
7QIH_chainA,7QIH,A,esmfold,success,40.278978,0.11269693870101778,0.0023926655209235005,0.9592665788317962,1.343657740800552,0.94307,1.06,1,single_sequence/native,First-five CASP target smoke benchmark; top_k=1; CodeCarbon offline CHE.
7QIH_chainA,7QIH,A,chai1,success,74.536622,0.2846033463548563,0.006042405604018095,0.9543258673693455,1.6582637255156776,0.94032,1.38,1,single_sequence/native,First-five CASP target smoke benchmark; top_k=1; CodeCarbon offline CHE.
7QIH_chainA,7QIH,A,boltz2,success,39.238736,0.12550943436130763,0.002664687254226187,0.9490557751427317,1.4293721764431024,0.93148,1.18,1,single_sequence/native,First-five CASP target smoke benchmark; top_k=1; CodeCarbon offline CHE.
7QIH_chainA,7QIH,A,omegafold,success,18.652007,0.06899903562184638,0.0014649165754834588,0.9211682037768996,2.154324938342009,0.91064,1.49,1,single_sequence/native,First-five CASP target smoke benchmark; top_k=1; CodeCarbon offline CHE.
7QIH_chainA,7QIH,A,colabfold,success,96.302945,0.3281382310318986,0.006966693510369177,0.5642292490118577,13.373044014250151,0.41449,3.78,1,single_sequence,First-five CASP target smoke benchmark; top_k=1; CodeCarbon offline CHE.
7QIH_chainA,7QIH,A,openfold,success,16.655984,0.06563100861925358,0.001393410089366544,0.5631313131313131,13.520789071735075,0.40993,3.71,1,single_sequence,First-five CASP target smoke benchmark; top_k=1; CodeCarbon offline CHE.
7ROA_chainA,7ROA,A,esmfold,success,40.843808,0.1133258207851006,0.0024060172986794465,0.6774744027303754,3.668269871441933,0.68557,3.26,1,single_sequence/native,First-five CASP target smoke benchmark; top_k=1; CodeCarbon offline CHE.
7ROA_chainA,7ROA,A,boltz2,success,39.210659,0.12620444279251866,0.0026794429585893864,0.6495070155479712,3.378925938982698,0.7153,2.93,1,single_sequence/native,First-five CASP target smoke benchmark; top_k=1; CodeCarbon offline CHE.
7ROA_chainA,7ROA,A,chai1,success,74.249363,0.28240109650887474,0.005995649699770169,0.5464543041334851,11.956198558556132,0.49723,3.32,1,single_sequence/native,First-five CASP target smoke benchmark; top_k=1; CodeCarbon offline CHE.
7ROA_chainA,7ROA,A,openfold,success,16.624458,0.06654941534827621,0.0014129087566776973,0.5413348502085703,6.3434921745742825,0.55664,3.76,1,single_sequence,First-five CASP target smoke benchmark; top_k=1; CodeCarbon offline CHE.
7ROA_chainA,7ROA,A,omegafold,success,18.865719,0.06915568373840465,0.0014682423672194786,0.5010428517254456,9.237582843529404,0.50173,3.94,1,single_sequence/native,First-five CASP target smoke benchmark; top_k=1; CodeCarbon offline CHE.
7ROA_chainA,7ROA,A,colabfold,success,94.561686,0.312613357321399,0.006637085355330015,0.4270951839211224,10.816104539482849,0.38329,4.31,1,single_sequence,First-five CASP target smoke benchmark; top_k=1; CodeCarbon offline CHE.
7UTD_chainA,7UTD,A,chai1,success,146.748119,0.6205235377276382,0.013174317694478637,0.88058414133603,2.075384868462008,0.96466,1.97,1,single_sequence/native,First-five CASP target smoke benchmark; top_k=1; CodeCarbon offline CHE.
7UTD_chainA,7UTD,A,esmfold,success,75.051708,0.28369691635319644,0.006023161214267138,0.88006364880138,1.38427913025814,0.976,1.38,1,single_sequence/native,First-five CASP target smoke benchmark; top_k=1; CodeCarbon offline CHE.
7UTD_chainA,7UTD,A,omegafold,success,213.288339,0.9822720134450087,0.020854589359992542,0.7422223544108024,3.243929615485832,0.90656,2.93,1,single_sequence/native,First-five CASP target smoke benchmark; top_k=1; CodeCarbon offline CHE.
7UTD_chainA,7UTD,A,boltz2,success,78.000352,0.31321491627090786,0.00664985703638793,0.2272916542739873,26.26314088982356,0.28297,7.67,1,single_sequence/native,First-five CASP target smoke benchmark; top_k=1; CodeCarbon offline CHE.
7UTD_chainA,7UTD,A,openfold,success,120.326613,0.5583585191693643,0.011854493942153337,0.1643120575813455,32.033742671553526,0.19507,8.25,1,single_sequence,First-five CASP target smoke benchmark; top_k=1; CodeCarbon offline CHE.
7UTD_chainA,7UTD,A,colabfold,success,103.207748,0.3800321578839182,0.00806845200492385,0.1640592469216584,30.4124479308428,0.21183,7.41,1,single_sequence,First-five CASP target smoke benchmark; top_k=1; CodeCarbon offline CHE.
7UYX_chainA,7UYX,A,chai1,success,74.819459,0.2848430038502562,0.006047493765530587,0.4466448445171849,18.492646847909253,0.3629,4.48,1,single_sequence/native,First-five CASP target smoke benchmark; top_k=1; CodeCarbon offline CHE.
7UYX_chainA,7UYX,A,boltz2,success,39.622528,0.1288408054782439,0.002735415500270565,0.4335515548281505,20.82048665782807,0.34348,5.18,1,single_sequence/native,First-five CASP target smoke benchmark; top_k=1; CodeCarbon offline CHE.
7UYX_chainA,7UYX,A,esmfold,success,41.767180,0.11943317341615253,0.0025356823298051537,0.4261047463175123,19.091485162535363,0.35056,5.08,1,single_sequence/native,First-five CASP target smoke benchmark; top_k=1; CodeCarbon offline CHE.
7UYX_chainA,7UYX,A,omegafold,success,26.036593,0.10547991742185261,0.0022394411460871875,0.4106382978723404,18.36358362198408,0.39609,4.62,1,single_sequence/native,First-five CASP target smoke benchmark; top_k=1; CodeCarbon offline CHE.
7UYX_chainA,7UYX,A,colabfold,success,97.881485,0.33729620309341096,0.007161126156417294,0.3926350245499181,20.67554951309401,0.24618,5.5,1,single_sequence,First-five CASP target smoke benchmark; top_k=1; CodeCarbon offline CHE.
7UYX_chainA,7UYX,A,openfold,success,23.001193,0.09658257038383533,0.002050541822548042,0.383633387888707,22.762471838039428,0.3195,4.07,1,single_sequence,First-five CASP target smoke benchmark; top_k=1; CodeCarbon offline CHE.
8ORK_chainA,8ORK,A,esmfold,success,64.938539,0.23427094801469134,0.004973799877172276,0.7977266911200205,3.9517906590341183,0.79231,3.27,1,single_sequence/native,First-five CASP target smoke benchmark; top_k=1; CodeCarbon offline CHE.
8ORK_chainA,8ORK,A,chai1,success,145.846534,0.6178421703656096,0.013117389659786621,0.7819244220762603,4.347223688343631,0.76904,3.58,1,single_sequence/native,First-five CASP target smoke benchmark; top_k=1; CodeCarbon offline CHE.
8ORK_chainA,8ORK,A,omegafold,success,157.473925,0.723131700207655,0.015352788692546976,0.7789814893798515,3.889696879806235,0.78328,3.37,1,single_sequence/native,First-five CASP target smoke benchmark; top_k=1; CodeCarbon offline CHE.
8ORK_chainA,8ORK,A,boltz2,success,68.573387,0.266433556564481,0.005656643310428249,0.5946643350678155,7.071376383194106,0.6697,4.27,1,single_sequence/native,First-five CASP target smoke benchmark; top_k=1; CodeCarbon offline CHE.
8ORK_chainA,8ORK,A,openfold,success,92.776329,0.4284075778789012,0.009095509179824234,0.2653331058602746,24.39994134269069,0.25379,7.29,1,single_sequence,First-five CASP target smoke benchmark; top_k=1; CodeCarbon offline CHE.
8ORK_chainA,8ORK,A,colabfold,success,100.620622,0.3635944093150569,0.007719462629563213,0.2472703232960846,26.60770531170096,0.2641,6.99,1,single_sequence,First-five CASP target smoke benchmark; top_k=1; CodeCarbon offline CHE.
