model,n_runs,duration_s,energy_kwh,co2_g,mean_co2_g,energy_wh
esmfold,5,262.880213,0.0183313262408473,0.8634237972701585,0.1726847594540317,18.3313262408473
boltz2,5,264.645662,0.020386046059901998,0.9602031554674588,0.19204063109349176,20.386046059901997
openfold,5,269.384577,0.025806863790569602,1.2155290913996306,0.2431058182799261,25.8068637905696
omegafold,5,434.31658300000004,0.0413799781413293,1.9490383504347673,0.38980767008695344,41.3799781413293
colabfold,5,492.574486,0.0365528196566033,1.7216743586456835,0.3443348717291367,36.5528196566033
chai1,5,516.200097,0.0443772564235838,2.090213154807235,0.418042630961447,44.377256423583795
