r_angstrom,g_r,n_r
2.675000000000000266e+00,2.071076175411007761e-02,6.313131313131323426e-03
2.725000000000000089e+00,5.512128471117455630e-02,1.527248533236554885e-02
2.775000000000000355e+00,9.133732946011526022e-02,3.315339018931840603e-02
2.825000000000000178e+00,1.267461123837949344e-01,6.071190951430469052e-02
2.875000000000000000e+00,1.923862785779902884e-01,1.025222282707310834e-01
2.925000000000000266e+00,2.301318947749598498e-01,1.597184419040707515e-01
2.975000000000000089e+00,2.886416385002937846e-01,2.324139599588700145e-01
3.025000000000000355e+00,3.293073831635175419e-01,3.218940906066657948e-01
3.075000000000000178e+00,3.139584748825512972e-01,4.180275812012337888e-01
3.125000000000000000e+00,3.449419948843261419e-01,5.198693522046810012e-01
3.175000000000000266e+00,3.098943882375792547e-01,6.242061331881691988e-01
3.225000000000000089e+00,2.829443120165346381e-01,7.217005383173044075e-01
3.275000000000000355e+00,2.454203515818168257e-01,8.112940785096475205e-01
3.325000000000000178e+00,2.289454769965906245e-01,8.942720619367324764e-01
3.375000000000000000e+00,1.833869837391094160e-01,9.685175104336777308e-01
3.425000000000000266e+00,1.734594846908380505e-01,1.034786487630799057e+00
3.475000000000000089e+00,1.449327102956219637e-01,1.095611806689650747e+00
3.525000000000000355e+00,1.291127787495549573e-01,1.149519143531119614e+00
3.575000000000000178e+00,1.207410207723596668e-01,1.200099800399201611e+00
3.625000000000000000e+00,1.168961628399996372e-01,1.249584165003326364e+00
3.675000000000000266e+00,1.153045376417216744e-01,1.299295348696546171e+00
3.725000000000000089e+00,1.154509879869783373e-01,1.350065021472206972e+00
3.775000000000000355e+00,1.290850469900265141e-01,1.405371076029758859e+00
3.825000000000000178e+00,1.273401621867471800e-01,1.464873283735559140e+00
3.875000000000000000e+00,1.301849276773546504e-01,1.526227847335631438e+00
3.925000000000000266e+00,1.462814588873809774e-01,1.593857739067319867e+00
3.975000000000000089e+00,1.442622186759233982e-01,1.666704469848182102e+00
4.025000000000000355e+00,1.514452425407890324e-01,1.742764471057884235e+00
