r_angstrom,g_r,n_r
2.675000000000000266e+00,1.972453500391435979e-02,4.309562692796238201e-03
2.725000000000000089e+00,3.516357817781824713e-02,1.077390673199055300e-02
2.775000000000000355e+00,9.164280547837652668e-02,2.631101433496649961e-02
2.825000000000000178e+00,1.202614275641589181e-01,5.307566684812191349e-02
2.875000000000000000e+00,1.758797635520680525e-01,9.186173108328779535e-02
2.925000000000000266e+00,2.779729338321199617e-01,1.534431137724552308e-01
2.975000000000000089e+00,2.830601703524980306e-01,2.319225185991651561e-01
3.025000000000000355e+00,3.439604048967887517e-01,3.227635637815281511e-01
3.075000000000000178e+00,3.619727265880445244e-01,4.283478497550353148e-01
3.125000000000000000e+00,3.410878943828253296e-01,5.368807838867714066e-01
3.175000000000000266e+00,3.115278676936508173e-01,6.408773362366176896e-01
3.225000000000000089e+00,2.876939767266443737e-01,7.394302304481941146e-01
3.275000000000000355e+00,2.414725711274176012e-01,8.291371801850844214e-01
3.325000000000000178e+00,2.278816039622198475e-01,9.112456904373069655e-01
3.375000000000000000e+00,1.672786675998633177e-01,9.823534748684443763e-01
3.425000000000000266e+00,1.570159266045389745e-01,1.042573943023044514e+00
3.475000000000000089e+00,1.274005275985709285e-01,1.096897114861186129e+00
3.525000000000000355e+00,1.175645683335390518e-01,1.145096171293775722e+00
3.575000000000000178e+00,1.126425376717745674e-01,1.191707494102703047e+00
3.625000000000000000e+00,1.224455978293410990e-01,1.240700417347123219e+00
3.675000000000000266e+00,1.118210168670473043e-01,1.290827436037016440e+00
3.725000000000000089e+00,1.281658545053680209e-01,1.343676283796043647e+00
3.775000000000000355e+00,1.267740614940413846e-01,1.401288332426056549e+00
3.825000000000000178e+00,1.514576171463583865e-01,1.465931772817999690e+00
3.875000000000000000e+00,1.428744332632339575e-01,1.536018871348211690e+00
3.925000000000000266e+00,1.548323583630525357e-01,1.608827798947558785e+00
3.975000000000000089e+00,1.634674056823156862e-01,1.688668118308835897e+00
4.025000000000000355e+00,1.433139543506795344e-01,1.767487751769188264e+00
