target_id,pdb_id,chain_id,model,prediction,rank,match_mode,n_ref_ca,n_pred_ca,n_aligned_ca,missing_ref_resseq,missing_pred_resseq,ca_rmsd,z_rmsd,lddt_ca,lddt_ca_n_pairs,lddt_ca_cutoff,lddt_ca_f_0p5,lddt_ca_f_1p0,lddt_ca_f_2p0,lddt_ca_f_4p0,lddt_ca_error,tmalign_available,tmalign_bin,tmalign_rmsd,tmalign_tm_score_ref,tmalign_tm_score_pred,tmalign_aligned_length,tmalign_seq_id,tmalign_error,error,inference_time_sec,inference_time_sec_per_prediction,prediction_count,trials_run,max_trials,successful_trial,success,return_code
7ROA_chainA,7ROA,A,omegafold,rank_001.pdb,1,sequential,115,115,115,,,9.237582843529404,0.4569464638711671,0.5010428517254456,2637,15.0,0.3204398938187334,0.434963974213121,0.5616230565036026,0.6871444823663254,,True,/home/chen/software/miniforge3/envs/folding-benchmark/bin/USalign,3.94,0.50173,0.50173,85,0.824,,,18.865719,18.865719,1,1,1,1,True,0
7ROA_chainA,7ROA,A,colabfold,rank_001.pdb,1,sequential,115,115,115,,,10.816104539482849,0.8886504664403411,0.4270951839211224,2637,15.0,0.2574895714827455,0.3598786499810391,0.4835039817974971,0.6075085324232082,,True,/home/chen/software/miniforge3/envs/folding-benchmark/bin/USalign,4.31,0.38329,0.38329,73,0.521,,,94.561686,94.561686,1,1,1,1,True,0
7UTD_chainA,7UTD,A,chai1,rank_001.pdb,1,sequential,512,512,512,,,2.075384868462008,-0.9155774112753676,0.88058414133603,16811,15.0,0.7198263042055797,0.8897150675153174,0.9424781393135448,0.9703170543096782,,True,/home/chen/software/miniforge3/envs/folding-benchmark/bin/USalign,1.97,0.96466,0.96466,511,1.0,,,146.748119,146.748119,1,1,1,1,True,0
7UTD_chainA,7UTD,A,esmfold,rank_001.pdb,1,sequential,512,512,512,,,1.38427913025814,-0.9613408711439484,0.88006364880138,16811,15.0,0.6934745107370174,0.8853726726548093,0.9545535661174231,0.9868538456962704,,True,/home/chen/software/miniforge3/envs/folding-benchmark/bin/USalign,1.38,0.976,0.976,512,1.0,,,75.051708,75.051708,1,1,1,1,True,0
7UTD_chainA,7UTD,A,omegafold,rank_001.pdb,1,sequential,512,512,512,,,3.243929615485832,-0.8381990194043242,0.7422223544108024,16811,15.0,0.4962227113199691,0.6928201772648861,0.8458747248825174,0.9339718041758373,,True,/home/chen/software/miniforge3/envs/folding-benchmark/bin/USalign,2.93,0.90656,0.90656,508,0.97,,,213.288339,213.288339,1,1,1,1,True,0
7UTD_chainA,7UTD,A,boltz2,rank_001.pdb,1,sequential,512,512,512,,,26.26314088982356,0.6860811205599955,0.2272916542739873,16811,15.0,0.1273570876212004,0.1757182796978169,0.2495389923264529,0.3565522574504788,,True,/home/chen/software/miniforge3/envs/folding-benchmark/bin/USalign,7.67,0.28297,0.28297,246,0.049,,,78.000352,78.000352,1,1,1,1,True,0
7UTD_chainA,7UTD,A,openfold,rank_001.pdb,1,sequential,512,512,512,,,32.033742671553526,1.068197327179971,0.1643120575813455,16811,15.0,0.0982095056808042,0.1347926952590565,0.1767295223365653,0.247516507048956,,True,/home/chen/software/miniforge3/envs/folding-benchmark/bin/USalign,8.25,0.19507,0.19507,179,0.045,,,120.326613,120.326613,1,1,1,1,True,0
7UTD_chainA,7UTD,A,colabfold,rank_001.pdb,1,sequential,512,512,512,,,30.4124479308428,0.960838854083674,0.1640592469216584,16811,15.0,0.0945809291535304,0.1320563916483255,0.1794063410861935,0.2501933257985843,,True,/home/chen/software/miniforge3/envs/folding-benchmark/bin/USalign,7.41,0.21183,0.21183,172,0.151,,,103.207748,103.207748,1,1,1,1,True,0
7UYX_chainA,7UYX,A,chai1,rank_001.pdb,1,sequential,167,167,167,,,18.492646847909253,-0.9044242940797868,0.4466448445171849,3055,15.0,0.2890343698854337,0.3800327332242226,0.4851063829787234,0.63240589198036,,True,/home/chen/software/miniforge3/envs/folding-benchmark/bin/USalign,4.48,0.3629,0.3629,88,0.443,,,74.819459,74.819459,1,1,1,1,True,0
7UYX_chainA,7UYX,A,boltz2,rank_001.pdb,1,sequential,167,167,167,,,20.82048665782807,0.4611607301771538,0.4335515548281505,3055,15.0,0.2628477905073649,0.3656301145662848,0.47430441898527,0.6314238952536825,,True,/home/chen/software/miniforge3/envs/folding-benchmark/bin/USalign,5.18,0.34348,0.34348,92,0.478,,,39.622528,39.622528,1,1,1,1,True,0
7UYX_chainA,7UYX,A,esmfold,rank_001.pdb,1,sequential,167,167,167,,,19.091485162535363,-0.5531266528416631,0.4261047463175123,3055,15.0,0.2612111292962357,0.3633387888707037,0.4654664484451719,0.6144026186579378,,True,/home/chen/software/miniforge3/envs/folding-benchmark/bin/USalign,5.08,0.35056,0.35056,104,0.413,,,41.76718,41.76718,1,1,1,1,True,0
7UYX_chainA,7UYX,A,omegafold,rank_001.pdb,1,sequential,167,167,167,,,18.36358362198408,-0.9801368958467708,0.4106382978723404,3055,15.0,0.2454991816693944,0.3499181669394435,0.4540098199672668,0.593126022913257,,True,/home/chen/software/miniforge3/envs/folding-benchmark/bin/USalign,4.62,0.39609,0.39609,98,0.449,,,26.036593,26.036593,1,1,1,1,True,0
7UYX_chainA,7UYX,A,colabfold,rank_001.pdb,1,sequential,167,167,167,,,20.67554951309401,0.3761359817111939,0.3926350245499181,3055,15.0,0.2376432078559738,0.3410801963993453,0.4343698854337152,0.5574468085106383,,True,/home/chen/software/miniforge3/envs/folding-benchmark/bin/USalign,5.5,0.24618,0.24618,75,0.08,,,97.881485,97.881485,1,1,1,1,True,0
7UYX_chainA,7UYX,A,openfold,rank_001.pdb,1,sequential,167,167,167,,,22.762471838039428,1.6003911308798688,0.383633387888707,3055,15.0,0.2500818330605565,0.3358428805237315,0.4248772504091653,0.5237315875613748,,True,/home/chen/software/miniforge3/envs/folding-benchmark/bin/USalign,4.07,0.3195,0.3195,76,0.539,,,23.001193,23.001193,1,1,1,1,True,0
8ORK_chainA,8ORK,A,esmfold,rank_001.pdb,1,sequential,448,448,448,,,3.9517906590341183,-0.7204199870960296,0.7977266911200205,11723,15.0,0.5920839375586454,0.7542437942506185,0.8797236202337285,0.9648554124370896,,True,/home/chen/software/miniforge3/envs/folding-benchmark/bin/USalign,3.27,0.79231,0.85648,440,0.816,,,64.938539,64.938539,1,1,1,1,True,0
8ORK_chainA,8ORK,A,chai1,rank_001.pdb,1,sequential,448,448,448,,,4.347223688343631,-0.6837065497403693,0.7819244220762603,11723,15.0,0.5739145269982087,0.729420796724388,0.861127697688305,0.9632346668941396,,True,/home/chen/software/miniforge3/envs/folding-benchmark/bin/USalign,3.58,0.76904,0.83002,438,0.788,,,145.846534,145.846534,1,1,1,1,True,0
8ORK_chainA,8ORK,A,omegafold,rank_001.pdb,1,sequential,448,448,448,,,3.889696879806235,-0.7261849988803001,0.7789814893798515,11723,15.0,0.5694788023543461,0.7257527936535016,0.8595069521453553,0.9611874093662032,,True,/home/chen/software/miniforge3/envs/folding-benchmark/bin/USalign,3.37,0.78328,0.84556,442,0.844,,,157.473925,157.473925,1,1,1,1,True,0
8ORK_chainA,8ORK,A,boltz2,rank_001.pdb,1,sequential,448,448,448,,,7.071376383194106,-0.4307863283711917,0.5946643350678155,11723,15.0,0.3679092382495948,0.5101083340441867,0.6683442804742813,0.8322954875031988,,True,/home/chen/software/miniforge3/envs/folding-benchmark/bin/USalign,4.27,0.6697,0.71979,409,0.592,,,68.573387,68.573387,1,1,1,1,True,0
8ORK_chainA,8ORK,A,openfold,rank_001.pdb,1,sequential,448,448,448,,,24.39994134269069,1.178060522927139,0.2653331058602746,11723,15.0,0.1511558474793141,0.2090761750405186,0.2908811737609826,0.4102192271602832,,True,/home/chen/software/miniforge3/envs/folding-benchmark/bin/USalign,7.29,0.25379,0.27014,201,0.07,,,92.776329,92.776329,1,1,1,1,True,0
8ORK_chainA,8ORK,A,colabfold,rank_001.pdb,1,sequential,448,448,448,,,26.60770531170096,1.3830373411607508,0.2472703232960846,11723,15.0,0.137933975944724,0.1970485370638915,0.2778299070203873,0.3762688731553357,,True,/home/chen/software/miniforge3/envs/folding-benchmark/bin/USalign,6.99,0.2641,0.28165,202,0.342,,,100.620622,100.620622,1,1,1,1,True,0
