target_id,pdb_id,chain,model,status,exit_code,runtime_sec,log_file,reason
7ROA_chainA,7ROA,A,colabfold,success,0,94.561686,results/six_backend_first5_carbon_smoke/logs/20260519_7ROA_chainA_colabfold.log,
7ROA_chainA,7ROA,A,openfold,success,0,16.624458,results/six_backend_first5_carbon_smoke/logs/20260519_7ROA_chainA_openfold.log,
7ROA_chainA,7ROA,A,esmfold,success,0,40.843808,results/six_backend_first5_carbon_smoke/logs/20260519_7ROA_chainA_esmfold.log,
7ROA_chainA,7ROA,A,omegafold,success,0,18.865719,results/six_backend_first5_carbon_smoke/logs/20260519_7ROA_chainA_omegafold.log,
7ROA_chainA,7ROA,A,boltz2,success,0,39.210659,results/six_backend_first5_carbon_smoke/logs/20260519_7ROA_chainA_boltz2.log,
7ROA_chainA,7ROA,A,chai1,success,0,74.249363,results/six_backend_first5_carbon_smoke/logs/20260519_7ROA_chainA_chai1.log,
7QIH_chainA,7QIH,A,colabfold,success,0,96.302945,results/six_backend_first5_carbon_smoke/logs/20260519_7QIH_chainA_colabfold.log,
7QIH_chainA,7QIH,A,openfold,success,0,16.655984,results/six_backend_first5_carbon_smoke/logs/20260519_7QIH_chainA_openfold.log,
7QIH_chainA,7QIH,A,esmfold,success,0,40.278978,results/six_backend_first5_carbon_smoke/logs/20260519_7QIH_chainA_esmfold.log,
7QIH_chainA,7QIH,A,omegafold,success,0,18.652007,results/six_backend_first5_carbon_smoke/logs/20260519_7QIH_chainA_omegafold.log,
7QIH_chainA,7QIH,A,boltz2,success,0,39.238736,results/six_backend_first5_carbon_smoke/logs/20260519_7QIH_chainA_boltz2.log,
7QIH_chainA,7QIH,A,chai1,success,0,74.536622,results/six_backend_first5_carbon_smoke/logs/20260519_7QIH_chainA_chai1.log,
8ORK_chainA,8ORK,A,colabfold,success,0,100.620622,results/six_backend_first5_carbon_smoke/logs/20260519_8ORK_chainA_colabfold.log,
8ORK_chainA,8ORK,A,openfold,success,0,92.776329,results/six_backend_first5_carbon_smoke/logs/20260519_8ORK_chainA_openfold.log,
8ORK_chainA,8ORK,A,esmfold,success,0,64.938539,results/six_backend_first5_carbon_smoke/logs/20260519_8ORK_chainA_esmfold.log,
8ORK_chainA,8ORK,A,omegafold,success,0,157.473925,results/six_backend_first5_carbon_smoke/logs/20260519_8ORK_chainA_omegafold.log,
8ORK_chainA,8ORK,A,boltz2,success,0,68.573387,results/six_backend_first5_carbon_smoke/logs/20260519_8ORK_chainA_boltz2.log,
8ORK_chainA,8ORK,A,chai1,success,0,145.846534,results/six_backend_first5_carbon_smoke/logs/20260519_8ORK_chainA_chai1.log,
7UYX_chainA,7UYX,A,colabfold,success,0,97.881485,results/six_backend_first5_carbon_smoke/logs/20260519_7UYX_chainA_colabfold.log,
7UYX_chainA,7UYX,A,openfold,success,0,23.001193,results/six_backend_first5_carbon_smoke/logs/20260519_7UYX_chainA_openfold.log,
7UYX_chainA,7UYX,A,esmfold,success,0,41.767180,results/six_backend_first5_carbon_smoke/logs/20260519_7UYX_chainA_esmfold.log,
7UYX_chainA,7UYX,A,omegafold,success,0,26.036593,results/six_backend_first5_carbon_smoke/logs/20260519_7UYX_chainA_omegafold.log,
7UYX_chainA,7UYX,A,boltz2,success,0,39.622528,results/six_backend_first5_carbon_smoke/logs/20260519_7UYX_chainA_boltz2.log,
7UYX_chainA,7UYX,A,chai1,success,0,74.819459,results/six_backend_first5_carbon_smoke/logs/20260519_7UYX_chainA_chai1.log,
7UTD_chainA,7UTD,A,colabfold,success,0,103.207748,results/six_backend_first5_carbon_smoke/logs/20260519_7UTD_chainA_colabfold.log,
7UTD_chainA,7UTD,A,openfold,success,0,120.326613,results/six_backend_first5_carbon_smoke/logs/20260519_7UTD_chainA_openfold.log,
7UTD_chainA,7UTD,A,esmfold,success,0,75.051708,results/six_backend_first5_carbon_smoke/logs/20260519_7UTD_chainA_esmfold.log,
7UTD_chainA,7UTD,A,omegafold,success,0,213.288339,results/six_backend_first5_carbon_smoke/logs/20260519_7UTD_chainA_omegafold.log,
7UTD_chainA,7UTD,A,boltz2,success,0,78.000352,results/six_backend_first5_carbon_smoke/logs/20260519_7UTD_chainA_boltz2.log,
7UTD_chainA,7UTD,A,chai1,success,0,146.748119,results/six_backend_first5_carbon_smoke/logs/20260519_7UTD_chainA_chai1.log,
