epoch,lr,trainset_Energy_RMSE,trainset_Force_RMSE,trainset_Stress_RMSE,trainset_TotalLoss,validset_Energy_RMSE,validset_Force_RMSE,validset_Stress_RMSE,validset_TotalLoss
66,0.000035,0.001614,0.077012,1.634351,0.000342,0.001496,0.076829,1.364863,0.000336
67,0.000034,0.001602,0.076873,1.630002,0.000343,0.001464,0.076720,1.426061,0.000336
68,0.000033,0.001585,0.076782,1.615681,0.000342,0.001371,0.076622,1.384303,0.000335
69,0.000032,0.001607,0.076692,1.611975,0.000340,0.001394,0.076568,1.400261,0.000335
70,0.000031,0.001619,0.076607,1.610681,0.000341,0.001573,0.076512,1.395626,0.000335
71,0.000030,0.001592,0.076514,1.606055,0.000339,0.001412,0.076419,1.388179,0.000334
72,0.000029,0.001592,0.076431,1.604056,0.000339,0.001391,0.076340,1.382843,0.000333
73,0.000028,0.001578,0.076356,1.605640,0.000340,0.001473,0.076282,1.397573,0.000334
74,0.000027,0.001581,0.076279,1.600463,0.000338,0.001480,0.076221,1.379208,0.000333
75,0.000026,0.001615,0.076219,1.601317,0.000337,0.001383,0.076179,1.397599,0.000333
76,0.000025,0.001571,0.076138,1.600723,0.000336,0.001450,0.076130,1.380411,0.000332
77,0.000024,0.001573,0.076064,1.598997,0.000338,0.001475,0.076063,1.397203,0.000333
78,0.000023,0.001563,0.076004,1.605066,0.000337,0.001383,0.076001,1.397201,0.000332
79,0.000022,0.001567,0.075938,1.594975,0.000336,0.001384,0.075931,1.379136,0.000331
80,0.000021,0.001559,0.075888,1.597220,0.000336,0.001422,0.075883,1.385967,0.000331
81,0.000020,0.001565,0.075823,1.596359,0.000335,0.001473,0.075811,1.390747,0.000331
82,0.000019,0.001563,0.075767,1.590978,0.000334,0.001434,0.075763,1.374543,0.000331
83,0.000018,0.001552,0.075721,1.597211,0.000334,0.001422,0.075728,1.402064,0.000331
84,0.000017,0.001556,0.075669,1.594722,0.000336,0.001378,0.075692,1.389320,0.000331
85,0.000016,0.001558,0.075624,1.592282,0.000334,0.001392,0.075663,1.384467,0.000330
86,0.000015,0.001545,0.075590,1.590537,0.000335,0.001453,0.075645,1.394423,0.000330
87,0.000014,0.001550,0.075554,1.590554,0.000334,0.001460,0.075604,1.391826,0.000330
88,0.000013,0.001549,0.075518,1.591119,0.000334,0.001414,0.075570,1.391584,0.000330
89,0.000012,0.001547,0.075475,1.588397,0.000335,0.001388,0.075526,1.375242,0.000329
90,0.000011,0.001546,0.075444,1.587279,0.000335,0.001409,0.075504,1.381844,0.000329
91,0.000010,0.001545,0.075417,1.585870,0.000335,0.001426,0.075482,1.386641,0.000330
92,0.000009,0.001542,0.075400,1.587137,0.000335,0.001409,0.075470,1.398135,0.000330
93,0.000008,0.001547,0.075372,1.587380,0.000333,0.001389,0.075441,1.386406,0.000329
94,0.000007,0.001540,0.075346,1.585181,0.000333,0.001402,0.075418,1.379513,0.000329
95,0.000006,0.001540,0.075329,1.583615,0.000335,0.001423,0.075404,1.378017,0.000329
96,0.000005,0.001539,0.075316,1.583784,0.000334,0.001419,0.075393,1.381467,0.000329
97,0.000004,0.001538,0.075305,1.583639,0.000334,0.001423,0.075384,1.383518,0.000329
98,0.000003,0.001538,0.075293,1.583272,0.000334,0.001423,0.075374,1.381707,0.000329
99,0.000002,0.001538,0.075285,1.582947,0.000333,0.001420,0.075369,1.381010,0.000329
100,0.000001,0.001537,0.075281,1.583149,0.000334,0.001421,0.075366,1.382001,0.000329
